物件名,駅・徒歩,築年数,階数,家賃,管理費,間取り,面積,URL
エクセルコート菊名,"東急東横線/菊名駅 歩5分
東急東横線/大倉山駅 歩13分
ＪＲ横浜線/新横浜駅 歩22分",築27年,2階,6.5万円,5000円,1K,21.17m2,https://suumo.jp/chintai/jnc_000097178974/?bc=100426899974
ムーンヒルズ,"東急東横線/元住吉駅 歩10分
東急東横線/日吉駅 歩15分",築30年,3階,6.8万円,-,1DK,28.4m2,https://suumo.jp/chintai/jnc_000097314140/?bc=100427753763
アムール大倉山　B棟,"東急東横線/綱島駅 歩10分
東急新横浜線/新綱島駅 歩12分
東急東横線/大倉山駅 歩15分",築23年,3階,7万円,4500円,1K,26.5m2,https://suumo.jp/chintai/jnc_000097330184/?bc=100427914841
東急東横線 綱島駅 3階建 築23年,"東急東横線/綱島駅 歩10分
東急新横浜線/新綱島駅 歩12分
東急東横線/大倉山駅 歩15分",築23年,3階,7万円,4500円,1K,26.5m2,https://suumo.jp/chintai/jnc_000097338261/?bc=100427986968
レオパレスプリムローズ,東急東横線/大倉山駅 歩13分,築25年,3階,6.8万円,5500円,1K,20.28m2,https://suumo.jp/chintai/jnc_000096901156/?bc=100427814127
エス・パルク,"ブルーライン/岸根公園駅 歩7分
東急東横線/白楽駅 歩13分
ＪＲ横浜線/新横浜駅 歩19分",築21年,2階,6.2万円,3500円,1K,20m2,https://suumo.jp/chintai/jnc_000027617651/?bc=100427401799
サンバース日吉,"グリーンライン/日吉本町駅 歩8分
東急東横線/日吉駅 歩12分
東急東横線/綱島駅 歩20分",築28年,2階,6万円,4500円,1K,21.35m2,https://suumo.jp/chintai/jnc_000043611684/?bc=100031652157
オピュレ横浜,"ＪＲ京浜東北線/東神奈川駅 歩8分
京急本線/京急東神奈川駅 歩7分
東急東横線/反町駅 歩9分",築29年,2階,7.1万円,-,1K,25.2m2,https://suumo.jp/chintai/jnc_000097281540/?bc=100426996622
東急東横線 元住吉駅 5階建 築30年,"東急東横線/元住吉駅 歩4分
東急東横線/武蔵小杉駅 歩19分
東急東横線/日吉駅 歩19分",築30年,5階,6.9万円,3000円,1K,20.14m2,https://suumo.jp/chintai/jnc_000095408866/?bc=100426834429
ＪＲ京浜東北線 東神奈川駅 3階建 築29年,"ＪＲ京浜東北線/東神奈川駅 歩8分
東急東横線/反町駅 歩9分
京急本線/京急東神奈川駅 歩7分",築29年,2階,7.1万円,-,1K,25.2m2,https://suumo.jp/chintai/jnc_000097281541/?bc=100426977955
東急東横線 日吉駅 3階建 築25年,"東急東横線/日吉駅 歩15分
東急東横線/元住吉駅 歩18分
グリーンライン/日吉本町駅 歩24分",築25年,2階,7万円,2500円,1K,29.19m2,https://suumo.jp/chintai/jnc_000061155069/?bc=100426876978
てぃだ横浜,"東急東横線/反町駅 歩9分
ブルーライン/三ツ沢下町駅 歩2分
湘南新宿ライン宇須/横浜駅 歩18分",築20年,4階,6.7万円,5000円,1K,21.95m2,https://suumo.jp/chintai/jnc_000097275633/?bc=100427545893
協和ビル,"ブルーライン/三ツ沢下町駅 歩2分
ブルーライン/三ツ沢上町駅 歩11分
東急東横線/反町駅 歩15分",築19年,2階,6.6万円,2000円,1K,23.6m2,https://suumo.jp/chintai/jnc_000029921261/?bc=100427066628
ペガサスハウス,"東急東横線/菊名駅 歩8分
東急東横線/妙蓮寺駅 歩18分
東急東横線/大倉山駅 歩25分",築30年,2階,6.2万円,3000円,1K,20.46m2,https://suumo.jp/chintai/jnc_000074238750/?bc=100427174564
